ticker,name,asset_class,market_cap_focus,strategy,industry_focus,geographical_focus,maturity_band,rating_class_focus,total_assets,expense_ratio,std_dev_1yr,actively_managed
SPY,SPDR S&P 500 ETF TRUST,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,408141.156,0.094,22.04,N
IVV,ISHARES CORE S&P 500 ETF,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,326402.656,0.03,22.09,N
VOO,VANGUARD S&P 500 ETF,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,312579.156,0.03,22.01,N
VTI,VANGUARD TOTAL STOCK MKT ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,305993.094,0.03,21.95,N
QQQ,INVESCO QQQ TRUST SERIES 1,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,198268.641,0.2,28.51,N
VTV,VANGUARD VALUE ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,101583.875,0.04,20.32,N
VUG,VANGUARD GROWTH ETF,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,93329.258,0.04,27.01,N
IWF,ISHARES RUSSELL 1000 GROWTH,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,70317.773,0.18,24.89,N
VIG,VANGUARD DIVIDEND APPREC ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,67956.875,0.06,19.64,N
IJH,ISHARES CORE S&P MIDCAP ETF,Equity,Mid-cap,Blend,N.A.,United States,N.A.,N.A.,67818.766,0.05,25.48,N
IJR,ISHARES CORE S&P SMALL-CAP E,Equity,Small-cap,Blend,N.A.,United States,N.A.,N.A.,67374.562,0.06,26.13,N
IWM,ISHARES RUSSELL 2000 ETF,Equity,Small-cap,Blend,N.A.,United States,N.A.,N.A.,56930.535,0.19,25.09,N
VO,VANGUARD MID-CAP ETF,Equity,Mid-cap,Blend,N.A.,United States,N.A.,N.A.,55134.988,0.04,23.42,N
IWD,ISHARES RUSSELL 1000 VALUE E,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,50664.828,0.18,21.33,N
VYM,VANGUARD HIGH DVD YIELD ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,48639.734,0.06,20.81,N
SCHD,SCHWAB US DVD EQUITY ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,47633.57,0.06,19.68,N
RSP,INVESCO S&P 500 EQUAL WEIGHT,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,36330.633,0.2,23.35,N
QUAL,ISHARES MSCI USA QUALITY FAC,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,31083.43,0.15,24.02,N
USMV,ISHARES MSCI USA MIN VOL FAC,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,28533.461,0.15,16.46,N
